DEBUG:root:PERKINS ST, SAN MARCOS, TX 78666
DEBUG:root:2319 IH 35, SAN MARCOS, TX 78666
DEBUG:root:500 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:624 DANCING OAK LN, SAN MARCOS, TX 78666
DEBUG:root:HWY 21, SAN MARCOS, TX 78666
DEBUG:root:N GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:170 CHARLES AUSTIN DR, SAN MARCOS, TX 78666
DEBUG:root:1401 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:600 STAPLES RD, SAN MARCOS, TX 78666
DEBUG:root:1200 BISHOP ST, SAN MARCOS, TX 78666
DEBUG:root:1100 EARLE ST, SAN MARCOS, TX 78666
DEBUG:root:1015 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:3877 HWY 21, SAN MARCOS, TX 78666
DEBUG:root:1611 MOCKINGBIRD DR, SAN MARCOS, TX 78666
DEBUG:root:199 NB, SAN MARCOS, TX 78666
DEBUG:root:228 RAIL HEAD RD, SAN MARCOS, TX 78666
DEBUG:root:1437 POST RD, SAN MARCOS, TX 78666
DEBUG:root:2005 TECHNOLOGY WAY, SAN MARCOS, TX 78666
DEBUG:root:1241 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:105 IH 35, SAN MARCOS, TX 78666
DEBUG:root:624 DANCING OAK LN, SAN MARCOS, TX 78666
DEBUG:root:409 ARMSTRONG ST, SAN MARCOS, TX 78666
DEBUG:root:BLISS LN, SAN MARCOS, TX 78666
DEBUG:root:1911 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:646 FOXTAIL RUN, SAN MARCOS, TX 78666
DEBUG:root:1560 IH 35, SAN MARCOS, TX 78666
DEBUG:root:712 COMANCHE ST, SAN MARCOS, TX 78666
DEBUG:root:2213 IH 35, SAN MARCOS, TX 78666
DEBUG:root:221 C ALLEN PKWY, SAN MARCOS, TX 78666
DEBUG:root:1300 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:N BISHOP ST, SAN MARCOS, TX 78666
DEBUG:root:1180 THORPE LN, SAN MARCOS, TX 78666
DEBUG:root:503 UHLAND RD, SAN MARCOS, TX 78666
DEBUG:root:RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:200 SB, SAN MARCOS, TX 78666
DEBUG:root:124 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1019 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:100 LLANO CIR, SAN MARCOS, TX 78666
DEBUG:root:1015 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:HUGHSON CT, SAN MARCOS, TX 78666
DEBUG:root:1942 IH 35, SAN MARCOS, TX 78666
DEBUG:root:126 GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:201 SB, SAN MARCOS, TX 78666
DEBUG:root:503 SPRINGTOWN WAY, SAN MARCOS, TX 78666
DEBUG:root:409 ARMSTRONG ST, SAN MARCOS, TX 78666
DEBUG:root:HARVARD ST, SAN MARCOS, TX 78666
DEBUG:root:426 LINDA DR, SAN MARCOS, TX 78666
DEBUG:root:700 MOORE ST, SAN MARCOS, TX 78666
DEBUG:root:2008 LANCASTER ST, SAN MARCOS, TX 78666
DEBUG:root:1901 IH 35, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:1700 HWY 123, SAN MARCOS, TX 78666
DEBUG:root:1022 HAYNES ST, SAN MARCOS, TX 78666
DEBUG:root:CRADDOCK AVE, SAN MARCOS, TX 78666
DEBUG:root:1301 BISHOP ST, SAN MARCOS, TX 78666
DEBUG:root:2018 STONEHAVEN, SAN MARCOS, TX 78666
DEBUG:root:1616 LANCASTER ST, SAN MARCOS, TX 78666
DEBUG:root:608 EDWARD GARY ST, SAN MARCOS, TX 78666
DEBUG:root:DEL SOL DR, SAN MARCOS, TX 78666
DEBUG:root:1340 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:FRANCIS HARRIS LN, SAN MARCOS, TX 78666
DEBUG:root:1700 HWY 21, SAN MARCOS, TX 78666
DEBUG:root:2990 IH 35 DR, SAN MARCOS, TX 78666
DEBUG:root:HWY 21, SAN MARCOS, TX 78666
DEBUG:root:1401 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1001 CREPE MYRTLE DR, SAN MARCOS, TX 78666
DEBUG:root:321 BRIDLEWOOD DR, SAN MARCOS, TX 78666
DEBUG:root:FM 2325, SAN MARCOS, TX 78666
DEBUG:root:305 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:1137 HILLTOP DR, SAN MARCOS, TX 78666
DEBUG:root:1401 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:1410 MARLTON ST, SAN MARCOS, TX 78666
DEBUG:root:208 ACCESS RD, SAN MARCOS, TX 78666
DEBUG:root:618 HUTCHISON ST, SAN MARCOS, TX 78666
DEBUG:root:1401 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:HWY 80, SAN MARCOS, TX 78666
DEBUG:root:522 SILO ST, SAN MARCOS, TX 78666
DEBUG:root:712 COMANCHE ST, SAN MARCOS, TX 78666
DEBUG:root:YARRINGTON RD, SAN MARCOS, TX 78666
DEBUG:root:1301 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1103 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:405 FARIS ST, SAN MARCOS, TX 78666
DEBUG:root:203 NB, SAN MARCOS, TX 78666
DEBUG:root:1214 IH 35, SAN MARCOS, TX 78666
DEBUG:root:EXIT 201 SB, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:201 SB, SAN MARCOS, TX 78666
DEBUG:root:737 FOXTAIL RUN, SAN MARCOS, TX 78666
DEBUG:root:1025 FIELD ST, SAN MARCOS, TX 78666
DEBUG:root:1100 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666
DEBUG:root:612 CHICAGO ST, SAN MARCOS, TX 78666
DEBUG:root:2000 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:209 IH 35, SAN MARCOS, TX 78666
DEBUG:root:POST RD, SAN MARCOS, TX 78666
DEBUG:root:CLAREWOOD DR, SAN MARCOS, TX 78666
DEBUG:root:1804 LANCASTER ST, SAN MARCOS, TX 78666
DEBUG:root:133 TALLOW TRL, SAN MARCOS, TX 78666
DEBUG:root:200 CHEATHAM ST, SAN MARCOS, TX 78666
DEBUG:root:626 LBJ DR, SAN MARCOS, TX 78666
DEBUG:root:941 BARNES DR, SAN MARCOS, TX 78666
DEBUG:root:503 SPRINGTOWN WAY, SAN MARCOS, TX 78666
DEBUG:root:202 SB, SAN MARCOS, TX 78666
DEBUG:root:1807 AIRPORT DR, SAN MARCOS, TX 78666
DEBUG:root:WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:103 CANYON RD, SAN MARCOS, TX 78666
DEBUG:root:831 SAGEWOOD TRL, SAN MARCOS, TX 78666
DEBUG:root:1340 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:204 SB35 IH, SAN MARCOS, TX 78666
DEBUG:root:503 SPRINGTOWN WAY, SAN MARCOS, TX 78666
DEBUG:root:800 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:1210 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:1646 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666
DEBUG:root:1209 CRYSTAL RIVER PKWY, SAN MARCOS, TX 78666
DEBUG:root:2600 HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:1421 SCHULLE DR, SAN MARCOS, TX 78666
DEBUG:root:N EDWARD GARY ST, SAN MARCOS, TX 78666
DEBUG:root:207 SB, SAN MARCOS, TX 78666
DEBUG:root:E HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:213 SOUTH FORK RD, SAN MARCOS, TX 78666
DEBUG:root:1408 HIGHLAND DR, SAN MARCOS, TX 78666
DEBUG:root:3939 IH 35, SAN MARCOS, TX 78666
DEBUG:root:2534 MISSUM PT, SAN MARCOS, TX 78666
DEBUG:root:139 SEGOVIA RD, SAN MARCOS, TX 78666
DEBUG:root:W HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:1740 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:204 OAKDALE DR, SAN MARCOS, TX 78666
DEBUG:root:N LBJ DR, SAN MARCOS, TX 78666
DEBUG:root:2769 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1401 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:737 GRAVEL ST, SAN MARCOS, TX 78666
DEBUG:root:520 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1320 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:900 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:202 SB, SAN MARCOS, TX 78666
DEBUG:root:4061 SKYLARK LN, SAN MARCOS, TX 78666
DEBUG:root:289 SILVER PEAK DR, SAN MARCOS, TX 78666
DEBUG:root:200 KISSING TREE LN, SAN MARCOS, TX 78666
DEBUG:root:150 BUCKNER ST, SAN MARCOS, TX 78666
DEBUG:root:1241 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:195 HORSE SHOE BEND RD, SAN MARCOS, TX 78666
DEBUG:root:1127 SAN ANTONIO ST, SAN MARCOS, TX 78666
DEBUG:root:301 HUTCHISON ST, SAN MARCOS, TX 78666
DEBUG:root:402 LAMAR AVE, SAN MARCOS, TX 78666
DEBUG:root:801 RIVER RD, SAN MARCOS, TX 78666
DEBUG:root:133 TALLOW TRL, SAN MARCOS, TX 78666
DEBUG:root:1220 MLK DR, SAN MARCOS, TX 78666
DEBUG:root:1220 MLK DR, SAN MARCOS, TX 78666
DEBUG:root:900 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:120 SAN ANTONIO ST, SAN MARCOS, TX 78666
DEBUG:root:1917 DUTTON DR, SAN MARCOS, TX 78666
DEBUG:root:102 MOSSCLIFF CIR, SAN MARCOS, TX 78666
DEBUG:root:403 PATRICIA DR, SAN MARCOS, TX 78666
DEBUG:root:900 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:121 DE ZAVALA DR, SAN MARCOS, TX 78666
DEBUG:root:PATTON ST, SAN MARCOS, TX 78666
DEBUG:root:5101 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1401 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:1351 SADLER DR, SAN MARCOS, TX 78666
DEBUG:root:385 BRIARWOOD, SAN MARCOS, TX 78666
DEBUG:root:1400 HWY 123, SAN MARCOS, TX 78666
DEBUG:root:HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:502 PATRICIA DR, SAN MARCOS, TX 78666
DEBUG:root:MCKIE ST, SAN MARCOS, TX 78666
DEBUG:root:109 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:S GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:LOQUAT ST, SAN MARCOS, TX 78666
